No.,고객사,판매구분,제안금액,HubSpot딜현황,현황
,,,,,(이미지 기준)
1,JBA,SLF+SLE/CDR,"209,200,000",,세금계산서 발행 완료
2,엑셀로,SLF/CDR,"104,600,000",,세금계산서 발행 완료
3,중앙선거관리위원회,SLF/CDR,"82,000,000",,납품/검수 확인서 전달
4,미원홀딩스,SLE,"25,000,000",,완료(발주서 수령 3/24(월))
5,에스이정보,총판 매입,"200,000,000",,발주/납품 3/31(화) 완료 후 세금계산서 발행
6,CMT 정보통신,CDR + SI 사업,"400,000,000",,3/30(월) 계약체결 및 물품 공급
7,CMT 정보통신,CDR + SI 사업,"400,000,000",,3/30(월) 계약체결 및 물품 공급
8,1분기 유지보수,기존고객 유지보수,"71,400,000",,유지보수 대상 계약/계산서 발행
,1분기 소계,,"1,492,200,000",,
9,BNK시스템,SLF/CDR,"107,825,000",,발주서 수령 및 계약 체결(납품/설치 후 과업종료)
10,진주저축은행,SLF,"40,000,000",,4월 중 발주(예정)
11,현대오일뱅크,SLE,"150,000,000",,롯데케미칼 합병 후 증설합의(롯데이노베이트 진행)
12,광주과학기술원,SLE,"30,000,000",,데모장비 운영 중(2분기 정식 전환예정)
13,한국전력기술,SLE,"82,000,000",,SLE 증설(확정) 및 CDR 추가구매 논의 중
14,한국예탁결제원,SLF,"31,300,000",,노후장비 교체 추진
15,APR,논리적 망분리 사업,"100,000,000",,타 솔루션 포함 종합 공급예정
16,섹타나인,VPN노후화 교체,"70,000,000",,VPN 노후화 교체사업
17,한국투자증권,SLF 추가도입,"50,000,000",,유입량 확인 후 용량 결정(예산 반영은 하겠다고 함)
18,건강보험관리공단,SLF 교체/추가도입,"164,000,000",,노후 장비 교체 건으로 SI업체와 함께 진행 중
19,BNK 부산은행,SLF,"74,000,000",,SLF 노후화장비 교체 건
20,HB저축은행,SLF,"37,100,000",,휴네시온 망연계 연동 공급
21,의료기관평가인증원,SLE,"31,900,000",,노후장비 교체 추진
22,주택도시보증공사,SLE,"51,000,000",,휴네시온 망연계 연동 공급
23,법무부,SLF/CDR,"150,000,000",,법무부 대민포털서비스에 CDR 포함하여 도입예정
24,한국투자저축은행,SLE,"68,256,500",,26년 정보보안 고도화 사업 예산반영
25,한국투자신탁운용,SLE,"68,256,500",,26년 정보보안 고도화 사업 예산반영
26,케이뱅크(이씨뱅크),CDR,"71,080,000",,케이뱅크 구매시스템 구축
27,쿠콘(비즈플레이),SLF,"23,000,000",,쿠콘 망연계구간 추가사업
28,CMT 정보통신,CDR + SI 사업,"400,000,000",,4월 공급계약 분
29,2분기 유지보수,기존고객 유지보수,"70,000,000",,유지보수 대상 계약/계산서 발행
,2분기 소계,,"1,869,718,000",,
,상반기 합계,,"3,361,918,000",,
